table,fieldName,description,dataType,units,downloadPkg,pubFormat,primaryKey,categoricalCodeName
brd_countdata,uid,"Unique ID within NEON database; an identifier for the record",string,NA,basic,"asIs",N,
brd_countdata,namedLocation,"Name of the measurement location in the NEON database",string,NA,basic,"asIs",N,
brd_countdata,domainID,"Unique identifier of the NEON domain",string,NA,basic,"asIs",N,
brd_countdata,siteID,"NEON site code",string,NA,basic,"asIs",N,
brd_countdata,plotID,"Plot identifier (NEON site code_XXX)",string,NA,basic,"asIs",N,
brd_countdata,plotType,"NEON plot type in which sampling occurred: tower, distributed or gradient",string,NA,basic,"asIs",N,
brd_countdata,pointID,"Identifier for a point location",string,NA,basic,"LOV",N,"brd.pointID"
brd_countdata,startDate,"The start date-time or interval during which an event occurred",dateTime,NA,basic,"yyyy-MM-dd'T'HH:mm'Z'(floor)",N,
brd_countdata,eventID,"An identifier for the set of information associated with the event, which includes information about the place and time of the event",string,NA,basic,"asIs",Y,
brd_countdata,pointCountMinute,"The minute of sampling within the point count period",unsigned integer,NA,basic,"integer",Y,
brd_countdata,targetTaxaPresent,"Indicator of whether the sample contained individuals of the target taxa",string,NA,basic,"asIs",N,
brd_countdata,taxonID,"Species code, based on one or more sources",string,NA,basic,"asIs",Y,
brd_countdata,scientificName,"Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined",string,NA,basic,"asIs",N,
brd_countdata,taxonRank,"The lowest level taxonomic rank that can be determined for the individual or specimen",string,NA,basic,"asIs",N,
brd_countdata,vernacularName,"A common or vernacular name",string,NA,basic,"asIs",N,
brd_countdata,family,"The scientific name of the family in which the taxon is classified",string,NA,expanded,"asIs",N,
brd_countdata,nativeStatusCode,"The process by which the taxon became established in the location",string,NA,expanded,"LOV",N,"Native Status Codes"
brd_countdata,observerDistance,"Radial distance between the observer and the individual(s) being observed",real,meter,basic,"integer",Y,
brd_countdata,detectionMethod,"How the individual(s) was (were) first detected by the observer",string,NA,basic,"LOV",Y,"brd.detectionMethod"
brd_countdata,visualConfirmation,"Whether the individual(s) was (were) seen after the initial detection",string,NA,basic,"LOV",Y,"brd.visual"
brd_countdata,sexOrAge,"Sex of individual if detectable, age of individual if individual can not be sexed",string,NA,basic,"LOV",Y,"brd.sex"
brd_countdata,clusterSize,"Number of individuals in a cluster (a group of individuals of the same species)",unsigned integer,number,basic,"integer",N,
brd_countdata,clusterCode,"Alphabetic code (A-Z) linked to clusters (groups of individuals of the same species) spanning multiple records",string,NA,basic,"UPPER",N,
brd_countdata,identifiedBy,"An identifier for the technician who identified the specimen",string,NA,basic,"asIs",N,
brd_countdata,identificationHistoryID,"Identifier for linking records related to this identification history",string,NA,basic,"asIs",N,
brd_identificationHistory,uid,"Unique ID within NEON database; an identifier for the record",string,NA,expanded,"asIs",N,
brd_identificationHistory,identificationTable,"The table(s) containing the record to which this identification history applies",string,NA,expanded,"asIs",N,
brd_identificationHistory,domainID,"Unique identifier of the NEON domain",string,NA,expanded,"asIs",N,
brd_identificationHistory,siteID,"NEON site code",string,NA,expanded,"asIs",N,
brd_identificationHistory,locationID,"Identifier for location where sample was collected",string,NA,expanded,"asIs",N,
brd_identificationHistory,identificationHistoryID,"Identifier for linking records related to this identification history",string,NA,expanded,"asIs",Y,
brd_identificationHistory,identifiedDate,"Date on which the sample, individual, or specimen was identified",dateTime,NA,expanded,"yyyy-MM-dd(floor)",Y,
brd_identificationHistory,endDate,"The end date-time or interval during which an event occurred",dateTime,NA,expanded,"yyyy-MM-dd(floor)",N,
brd_identificationHistory,taxonID,"Species code, based on one or more sources",string,NA,expanded,"asIs",N,
brd_identificationHistory,acceptedTaxonID,"Accepted species code, based on one or more sources",string,NA,expanded,"asIs",N,
brd_identificationHistory,scientificName,"Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined",string,NA,expanded,"asIs",N,
brd_identificationHistory,identificationQualifier,"A standard term to express the determiner's doubts about the Identification",string,NA,expanded,"LOV",N,"Identification Qualifiers"
brd_identificationHistory,identificationReferences,"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used",string,NA,expanded,"asIs",N,
brd_identificationHistory,identificationRemarks,"Comments or notes about the identification",string,NA,expanded,"LOV",N,"identificationRemarks"
brd_identificationHistory,remarks,"Technician notes; free text comments accompanying the record",string,NA,expanded,"asIs",N,
brd_identificationHistory,identifiedBy,"An identifier for the technician who identified the specimen",string,NA,expanded,"asIs",N,
brd_identificationHistory,laboratoryName,"Name of the laboratory or facility that is processing the sample",string,NA,expanded,"asIs",N,
brd_identificationHistory,dataQF,"Data quality flag",string,NA,expanded,"asIs",N,
brd_perpoint,uid,"Unique ID within NEON database; an identifier for the record",string,NA,basic,"asIs",N,
brd_perpoint,namedLocation,"Name of the measurement location in the NEON database",string,NA,basic,"asIs",N,
brd_perpoint,domainID,"Unique identifier of the NEON domain",string,NA,basic,"asIs",N,
brd_perpoint,siteID,"NEON site code",string,NA,basic,"asIs",N,
brd_perpoint,plotID,"Plot identifier (NEON site code_XXX)",string,NA,basic,"asIs",N,
brd_perpoint,plotType,"NEON plot type in which sampling occurred: tower, distributed or gradient",string,NA,basic,"asIs",N,
brd_perpoint,pointID,"Identifier for a point location",string,NA,basic,"LOV",N,"brd.pointID"
brd_perpoint,nlcdClass,"National Land Cover Database Vegetation Type Name",string,NA,basic,"asIs",N,
brd_perpoint,decimalLatitude,"The geographic latitude (in decimal degrees, WGS84) of the geographic center of the reference area",real,decimalDegree,basic,"*.######(round)",N,
brd_perpoint,decimalLongitude,"The geographic longitude (in decimal degrees, WGS84) of the geographic center of the reference area",real,decimalDegree,basic,"*.######(round)",N,
brd_perpoint,geodeticDatum,"Model used to measure horizontal position on the earth",string,NA,basic,"asIs",N,
brd_perpoint,coordinateUncertainty,"The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Zero is not a valid value for this term",real,meter,basic,"*.#(round)",N,
brd_perpoint,elevation,"Elevation (in meters) above sea level",real,meter,basic,"*.#(round)",N,
brd_perpoint,elevationUncertainty,"Uncertainty in elevation values (in meters)",real,meter,basic,"*.#(round)",N,
brd_perpoint,startDate,"The start date-time or interval during which an event occurred",dateTime,NA,basic,"yyyy-MM-dd'T'HH:mm'Z'(floor)",N,
brd_perpoint,samplingImpracticalRemarks,"Technician notes; free text comments accompanying the sampling impractical record",string,NA,basic,"LOV",N,"brd.samplingImpracticalRemarks"
brd_perpoint,samplingImpractical,"Samples and/or measurements were not collected due to the indicated circumstance",string,NA,basic,"LOV",Y,"samplingImpractical"
brd_perpoint,eventID,"An identifier for the set of information associated with the event, which includes information about the place and time of the event",string,NA,basic,"asIs",Y,
brd_perpoint,startCloudCoverPercentage,"Observer estimate of percent cloud cover at start of sampling",unsigned integer,percent,basic,"integer",N,
brd_perpoint,endCloudCoverPercentage,"Observer estimate of percent cloud cover at end of sampling",unsigned integer,percent,basic,"integer",N,
brd_perpoint,startRH,"Relative humidity as measured by handheld weather meter at the start of sampling",unsigned integer,percent,basic,"integer",N,
brd_perpoint,endRH,"Relative humidity as measured by handheld weather meter at the end of sampling",unsigned integer,percent,basic,"integer",N,
brd_perpoint,observedHabitat,"Observer assessment of dominant habitat at the sampling point at sampling time",string,NA,basic,"LOV",N,"brd.habitatCode"
brd_perpoint,observedAirTemp,"The air temperature measured with a handheld weather meter",real,celsius,basic,"integer",N,
brd_perpoint,kmPerHourObservedWindSpeed,"The average wind speed measured with a handheld weather meter, in kilometers per hour",real,kilometersPerHour,basic,"integer",N,
brd_perpoint,laboratoryName,"Name of the laboratory or facility that is processing the sample",string,NA,basic,"asIs",N,
brd_perpoint,samplingProtocolVersion,"The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX",string,NA,basic,"LOV",N,"brd.samplingProtocolVersion"
brd_perpoint,remarks,"Technician notes; free text comments accompanying the record",string,NA,basic,"asIs",N,
brd_perpoint,measuredBy,"An identifier for the technician who measured or collected the data",string,NA,basic,"asIs",N,
brd_personnel,uid,"Unique ID within NEON database; an identifier for the record",string,NA,expanded,"asIs",N,
brd_personnel,laboratoryName,"Name of the laboratory or facility that is processing the sample",string,NA,expanded,"asIs",N,
brd_personnel,date,"Date or date and time of measurement, observation, or collection event",dateTime,NA,expanded,"yyyy-MM-dd(floor)",Y,
brd_personnel,domainID,"Unique identifier of the NEON domain",string,NA,expanded,"asIs",N,
brd_personnel,siteID,"NEON site code",string,NA,expanded,"asIs",Y,
brd_personnel,technicianID,"Unique identifier for technician",string,NA,expanded,"asIs",Y,
brd_personnel,observerInstitutionName,"The name of the institution with which the observer is affiliated",string,NA,expanded,"LOV",Y,"brd.institution"
brd_personnel,evaluationMethod,"Method of evaluation for technician",string,NA,expanded,"LOV",Y,"brd.evaluationMethod"
brd_personnel,evaluationScore,"Score for the evaluation method",unsigned integer,percent,expanded,"integer",Y,
brd_personnel,remarks,"Technician notes; free text comments accompanying the record",string,NA,expanded,"asIs",N,
brd_references,uid,"Unique ID within NEON database; an identifier for the record",string,NA,expanded,"asIs",N,
brd_references,date,"Date or date and time of measurement, observation, or collection event",dateTime,NA,expanded,"yyyy-MM-dd(floor)",Y,
brd_references,domainID,"Unique identifier of the NEON domain",string,NA,expanded,"asIs",N,
brd_references,siteID,"NEON site code",string,NA,expanded,"asIs",Y,
brd_references,identificationReferences,"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used",string,NA,expanded,"asIs",Y,
brd_references,remarks,"Technician notes; free text comments accompanying the record",string,NA,expanded,"asIs",N,
