Year,Mean Unique Units per Cycle,Mean Total Units per Cycle,Mean Song Cycle Length (m),Mean Themes,Mean Phrase Length,mean PCA of Themes,Total Score,Song Level Score,Theme Level Score,Song Level Entropy,Theme Level Entropy,Individuality
2002,20.05556,170.75,7.449771,6.86,22.66559834,0.535821761,2.2940784,0.1319056,3.17752202,0.147879566,0.725279873,31.43669986
2003,11.08333,101.1388889,5.173172,3.75,12.96136136,-1.158758128,-3.2996872,-2.5206149,-2.16806729,0.612242235,0.903910842,12.27573182
2004,18.77778,152.5277778,7.713418,4.42,14.59574357,-0.182803218,-0.4777126,-0.177801,-0.56030657,0.432972807,0.850407069,21.14537445
2005,21.86111,215.2222222,7.642183,3.97,16.30852028,0.31240118,0.7951894,1.0015181,0.05427805,0.146415301,1.000753249,26.20967742
2006,17.5,123.3333333,4.349468,3.92,15.92784091,0.492350127,-1.1212602,-1.7714269,0.10693739,0.347289264,1.340356359,NA
2007,16.25,113,4.253171,3.5,14.8470924,-0.562617618,-2.3467706,-2.0815065,-1.31842209,0.25,0.942535964,NA
2008,23.5,217.9444444,9.01206,5.31,15.45487938,-0.5040922,1.0648547,1.6462159,-0.20835748,0.309338348,1.353231193,25.71121846
2009,14.66667,160.2222222,7.007158,2.78,13.08874603,-0.96640922,-2.2252538,-0.7381845,-2.4552164,0.076179381,1.607182739,34.86238532
2010,25,228,11.06027,4.69,19.28767605,0.38540078,2.6741825,2.5897268,1.16648202,0.412786463,1.627087226,40.13402829
2011,27.80556,198.0555556,7.664542,4.31,16.08919514,0.565187123,1.4054093,1.4188256,0.40825648,0.312756057,1.371486476,56.89964158
2012,29.75,197.0833333,8.952531,6.47,19.53705158,0.92237918,3.3520599,2.0200769,2.61944813,0.202242074,1.828740595,60.51844467
2013,18.66667,157.3611111,6.938962,4.92,14.23893653,-0.402466566,-0.6291081,0.1094412,-0.31480963,0.037435251,1.010160026,29.92424242
2014,15.58333,204.1111111,6.328338,3.67,16.31037703,-0.135062686,-1.4859817,-1.6281763,-0.50774463,0.265203211,0.98022304,38.1495564